acc,gyro
0.99134,0.38929
0.9808,0.31705
0.97172,0.24774
0.91547,0.19233
0.87035,0.12699
0.85482,0.0688
1.02327,0.03761
1.3404,0.0993
1.31741,0.1526
1.38941,0.10279
1.12826,0.05787
1.00274,0.05387
0.91187,0.05004
0.92126,0.06533
0.98049,0.06968
0.98093,0.06418
0.9623,0.06144
0.9775,0.05747
0.96181,0.0723
0.99481,0.08465
1.033,0.0765
1.03428,0.06837
1.01027,0.06389
1.00711,0.06191
1.00625,0.0606
0.99429,0.06352
0.98001,0.07091
1.04735,0.08995
1.02647,0.11071
1.01222,0.10348
1.02122,0.09477
1.01888,0.09657
1.03108,0.09154
1.07562,0.09059
1.01523,0.0965
0.99912,0.09329
1.02872,0.08622
1.00617,0.08741
0.98726,0.09039
0.96499,0.08952
0.97147,0.08141
0.99891,0.07324
1.00528,0.07676
0.99791,0.08716
0.96377,0.09077
0.97728,0.07748
1.00442,0.07348
1.00244,0.08515
0.99713,0.09243
1.03027,0.09737
1.05186,0.10692
1.01423,0.11453
1.04335,0.12242
1.0684,0.13678
1.05521,0.15569
1.09714,0.17038
1.13838,0.18964
1.15308,0.21107
1.14974,0.2251
1.13559,0.23548
1.14258,0.25136
1.13508,0.26634
1.17578,0.30051
1.14062,0.34191
1.0831,0.34898
1.18979,0.3521
1.25785,0.36725
1.19757,0.37723
1.09764,0.36403
1.07739,0.35128
1.10452,0.33477
0.89268,0.36257
0.68056,0.40238
0.6007,0.3706
0.57902,0.31306
0.54549,0.26651
0.62864,0.30256
0.66919,0.36209
0.66722,0.41884
0.7535,0.4726
0.86361,0.53123
0.9495,0.57666
1.0363,0.60861
1.13255,0.6318
1.26561,0.65404
1.365,0.67771
1.43607,0.70121
1.54376,0.71316
1.65527,0.70947
1.6889,0.68201
1.66478,0.6183
1.54418,0.53629
1.43534,0.44443
1.50733,0.30139
1.42622,0.11583
1.31114,0.11233
1.03823,0.27357
2.00706,0.23528
1.30763,0.28962
1.78605,0.33543
1.5201,0.30278
1.24143,0.29531
1.14353,0.31241
0.81349,0.31162
0.99601,0.24515
0.9365,0.231
1.00795,0.22418
1.01809,0.2036
1.08621,0.21372
0.99487,0.19309
0.99562,0.18222
1.01535,0.17108
1.06934,0.16486
1.03689,0.15938
1.03477,0.15127
1.04138,0.14389
1.02545,0.13621
1.01836,0.12634
1.00689,0.11473
0.99894,0.10397
1.01728,0.0934
1.02085,0.08719
1.02904,0.08198
1.01946,0.08062
1.03809,0.08101
1.00282,0.08991
1.03475,0.09349
1.01969,0.10678
0.99558,0.11091
0.94344,0.11255
0.9879,0.11676
0.9859,0.12996
1.02589,0.15864
1.05114,0.19268
1.06512,0.22549
1.20046,0.25177
1.30581,0.26913
1.33062,0.28921
1.3036,0.30984
1.30107,0.33234
1.36016,0.38333
1.35782,0.41736
1.16377,0.40012
1.37537,0.41348
1.36263,0.43179
