acc,gyro
0.75843,0.29029
0.80842,0.3197
0.77698,0.34311
0.77881,0.33284
1.53806,0.24999
2.23319,0.41577
1.40802,0.3195
1.85763,0.31478
1.62718,0.292
1.57245,0.32429
1.58229,0.26737
1.5694,0.19508
1.3007,0.18394
1.20163,0.15975
1.17192,0.12008
1.01788,0.07159
0.93936,0.02025
0.97696,0.0305
1.00085,0.06435
1.00436,0.08072
1.03688,0.08151
1.01203,0.06804
0.96568,0.05178
0.96169,0.04247
0.953,0.03418
0.96419,0.02522
0.97805,0.01522
0.98652,0.01234
0.99382,0.01905
0.99889,0.03065
1.00407,0.04533
0.99418,0.05851
0.99672,0.07893
1.00606,0.10276
0.99725,0.12796
1.01268,0.15314
1.00615,0.17589
0.99887,0.19813
1.05169,0.22707
1.05989,0.26125
0.99285,0.28477
0.94595,0.29418
0.95128,0.3
0.93547,0.29669
0.81995,0.27867
1.0022,0.24778
1.04956,0.23669
1.27902,0.25245
1.46384,0.3056
1.86195,0.38472
1.956,0.45775
1.97091,0.52296
1.70085,0.54597
1.15111,0.47523
0.86314,0.35201
0.94306,0.25681
0.70404,0.22022
0.75582,0.19159
0.73275,0.1264
0.41459,0.02899
0.18523,0.1972
0.17587,0.33857
0.28594,0.40116
0.43345,0.42026
0.53934,0.43427
0.62176,0.44911
0.74699,0.46842
0.79041,0.49132
0.88582,0.51127
1.04958,0.52194
1.17797,0.52315
1.21844,0.5159
1.22854,0.50312
1.29424,0.49111
1.29225,0.48596
1.32925,0.48254
1.36429,0.48042
1.39338,0.47199
1.37895,0.45506
1.34508,0.41904
1.24121,0.387
1.19759,0.35476
1.15997,0.33183
1.06104,0.32161
0.9985,0.32182
0.98178,0.32892
0.90081,0.3116
0.80429,0.25867
0.80483,0.18683
0.77933,0.14914
0.75124,0.15355
0.76698,0.17289
0.81308,0.19522
0.86548,0.2214
0.88712,0.25685
0.84945,0.31478
0.80716,0.34741
1.50167,0.22892
2.51754,0.41432
1.40176,0.37462
1.41493,0.34986
1.74907,0.28048
1.47314,0.36326
1.50076,0.29899
1.49092,0.18657
1.32287,0.13477
1.26005,0.10838
1.30729,0.0796
1.14312,0.06485
0.99975,0.03656
1.03384,0.03616
1.03239,0.06074
0.98696,0.05853
0.95194,0.04327
0.95328,0.03868
0.95598,0.03762
0.91788,0.03029
0.89845,0.03248
0.91924,0.04017
0.91073,0.0471
0.8985,0.05373
0.96553,0.06041
1.02802,0.06884
1.04521,0.08072
1.02133,0.08964
1.05083,0.09221
1.02924,0.10883
1.01331,0.1331
1.02996,0.15448
0.98746,0.16792
1.04667,0.18179
1.00141,0.20191
0.97564,0.23043
1.09035,0.25751
1.04481,0.28697
1.15393,0.30772
1.15218,0.34116
1.25161,0.38132
1.26137,0.43794
1.34824,0.489
1.60313,0.52402
1.84111,0.54813
1.68042,0.55922
1.26744,0.50394
0.91842,0.40394
1.01425,0.32697
0.79403,0.23478
0.82253,0.17593
0.98385,0.17629
0.99422,0.12591
0.516,0.07668
0.19636,0.36194
0.11239,0.55251
0.40194,0.59012
0.48099,0.55857
0.60779,0.55256
0.72587,0.57663
0.77136,0.60447
0.83753,0.6357
0.90637,0.65772
1.12194,0.66848
1.35462,0.66185
1.38902,0.64661
1.41727,0.62913
1.48306,0.61895
1.4152,0.61268
1.35909,0.59702
1.48354,0.53988
1.4296,0.47014
1.38513,0.40216
1.31754,0.32921
1.2106,0.25951
1.12883,0.20953
0.98923,0.20654
0.86394,0.23103
0.84155,0.25124
0.79052,0.26002
0.78305,0.24852
0.77544,0.22821
0.74965,0.22947
0.72614,0.24386
1.3551,0.20937
1.05372,0.42442
1.45528,0.35396
2.24692,0.26985
1.60457,0.26148
1.40792,0.27654
1.21666,0.29258
1.4439,0.23089
1.55336,0.1682
1.40054,0.15632
1.18619,0.15338
1.0047,0.1003
0.94205,0.0313
1.01212,0.0084
1.04138,0.02456
1.00337,0.02918
0.97339,0.02979
0.96717,0.02163
0.93646,0.02551
0.98619,0.04178
0.95866,0.04368
0.97946,0.03562
0.99997,0.03019
1.00494,0.03336
1.02659,0.03926
1.0167,0.03912
0.98506,0.03789
0.98871,0.04112
0.98895,0.04625
1.01024,0.05257
0.99894,0.06022
1.00335,0.07138
1.00748,0.08886
0.99657,0.09972
0.98763,0.11226
0.98187,0.12779
0.98976,0.13885
1.00262,0.15196
1.02752,0.17344
1.04057,0.19953
0.9815,0.20981
0.97354,0.22366
0.99322,0.24658
